Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
335.00	37.500	9.8727	0.10129	15.977	16.357	67.905	80.642	139.54	516.78	0.051009	68.043	0.080275	liquid	liquid, P = 37.5 bar
340.00	37.500	9.6096	0.10406	16.679	17.069	70.014	81.825	145.54	477.61	0.068442	63.616	0.078060	liquid	liquid, P = 37.5 bar
345.00	37.500	9.3162	0.10734	17.413	17.815	72.194	83.116	153.51	435.94	0.091850	59.117	0.075795	liquid	liquid, P = 37.5 bar
350.00	37.500	8.9788	0.11137	18.192	18.610	74.480	84.588	165.07	390.56	0.12541	54.438	0.073440	liquid	liquid, P = 37.5 bar
355.00	37.500	8.5695	0.11669	19.041	19.479	76.945	86.412	184.53	339.08	0.17898	49.369	0.070938	liquid	liquid, P = 37.5 bar
360.00	37.500	8.0121	0.12481	20.027	20.495	79.786	89.196	230.17	275.05	0.28553	43.350	0.068276	liquid	liquid, P = 37.5 bar
362.94	37.500	7.4852	0.13360	20.780	21.281	81.962	92.708	329.36	220.57	0.44319	38.424	0.067237	liquid	liquid, P = 37.5 bar
362.94	37.500	2.6754	0.37378	25.803	27.205	98.283	99.416	424.48	155.92	1.8208	13.635	0.046692	vapor	vapor, P = 37.5 bar
365.00	37.500	2.4455	0.40892	26.348	27.881	100.14	94.885	270.59	164.87	1.7156	13.146	0.041324	vapor	vapor, P = 37.5 bar
370.00	37.500	2.1607	0.46282	27.235	28.970	103.11	91.215	185.58	179.02	1.5187	12.679	0.037602	vapor	vapor, P = 37.5 bar
375.00	37.500	1.9909	0.50229	27.937	29.820	105.39	90.029	158.04	189.35	1.3734	12.491	0.036438	vapor	vapor, P = 37.5 bar
380.00	37.500	1.8679	0.53536	28.565	30.572	107.38	89.639	144.03	197.84	1.2587	12.412	0.036040	vapor	vapor, P = 37.5 bar
385.00	37.500	1.7711	0.56463	29.152	31.269	109.20	89.631	135.56	205.20	1.1642	12.389	0.036001	vapor	vapor, P = 37.5 bar
390.00	37.500	1.6912	0.59131	29.715	31.932	110.91	89.844	129.95	211.76	1.0841	12.400	0.036169	vapor	vapor, P = 37.5 bar
395.00	37.500	1.6232	0.61609	30.261	32.572	112.54	90.198	126.03	217.71	1.0149	12.435	0.036470	vapor	vapor, P = 37.5 bar
400.00	37.500	1.5640	0.63940	30.797	33.194	114.11	90.650	123.20	223.19	0.95407	12.485	0.036864	vapor	vapor, P = 37.5 bar
405.00	37.500	1.5116	0.66154	31.324	33.805	115.63	91.173	121.12	228.28	0.90007	12.548	0.037326	vapor	vapor, P = 37.5 bar
