Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
430.00	27.500	1.1018	0.90757	45.602	48.098	157.13	131.14	170.39	186.66	1.2202	11.946	0.037394	vapor	vapor, P = 27.5 bar
435.00	27.500	1.0624	0.94124	46.353	48.942	159.08	131.77	167.24	192.04	1.1383	12.012	0.037838	vapor	vapor, P = 27.5 bar
440.00	27.500	1.0276	0.97310	47.096	49.772	160.98	132.47	164.96	197.00	1.0674	12.087	0.038341	vapor	vapor, P = 27.5 bar
445.00	27.500	0.99654	1.0035	47.833	50.592	162.83	133.24	163.32	201.60	1.0049	12.168	0.038889	vapor	vapor, P = 27.5 bar
450.00	27.500	0.96843	1.0326	48.566	51.406	164.65	134.05	162.13	205.91	0.94936	12.255	0.039474	vapor	vapor, P = 27.5 bar
455.00	27.500	0.94279	1.0607	49.297	52.214	166.43	134.89	161.30	209.98	0.89948	12.345	0.040090	vapor	vapor, P = 27.5 bar
460.00	27.500	0.91925	1.0878	50.028	53.019	168.19	135.76	160.74	213.82	0.85438	12.439	0.040731	vapor	vapor, P = 27.5 bar
465.00	27.500	0.89749	1.1142	50.758	53.822	169.93	136.66	160.39	217.48	0.81334	12.535	0.041396	vapor	vapor, P = 27.5 bar
470.00	27.500	0.87728	1.1399	51.489	54.623	171.64	137.57	160.23	220.97	0.77580	12.633	0.042081	vapor	vapor, P = 27.5 bar
475.00	27.500	0.85841	1.1649	52.221	55.424	173.34	138.50	160.20	224.32	0.74129	12.732	0.042784	vapor	vapor, P = 27.5 bar
480.00	27.500	0.84074	1.1894	52.955	56.226	175.02	139.43	160.30	227.53	0.70944	12.833	0.043504	vapor	vapor, P = 27.5 bar
485.00	27.500	0.82411	1.2134	53.691	57.028	176.68	140.38	160.49	230.62	0.67993	12.935	0.044240	vapor	vapor, P = 27.5 bar
490.00	27.500	0.80843	1.2370	54.429	57.831	178.33	141.33	160.77	233.61	0.65251	13.038	0.044990	vapor	vapor, P = 27.5 bar
495.00	27.500	0.79359	1.2601	55.170	58.635	179.96	142.29	161.12	236.49	0.62696	13.142	0.045754	vapor	vapor, P = 27.5 bar
500.00	27.500	0.77952	1.2828	55.914	59.442	181.58	143.26	161.53	239.29	0.60307	13.246	0.046531	vapor	vapor, P = 27.5 bar
505.00	27.500	0.76614	1.3052	56.661	60.251	183.19	144.22	161.99	242.00	0.58070	13.351	0.047320	vapor	vapor, P = 27.5 bar
510.00	27.500	0.75340	1.3273	57.412	61.062	184.79	145.19	162.50	244.63	0.55969	13.457	0.048122	vapor	vapor, P = 27.5 bar
515.00	27.500	0.74123	1.3491	58.166	61.876	186.38	146.16	163.04	247.20	0.53992	13.562	0.048934	vapor	vapor, P = 27.5 bar
